,country_name,n
3,Antigua and Barbuda,1
4,Argentina,1
6,Australia,5
7,"Bahamas, The",6
8,Bahrain,2
9,Belgium,10
10,Bermuda,4
12,Canada,18
13,China,2
14,Cuba,1
15,Cyprus,2
16,Denmark,7
17,Djibouti,1
18,Egypt,4
19,"Micronesia, Fed. Sts.",2
20,Germany,198
21,Greece,12
24,Honduras,9
25,Hong Kong,1
26,Iceland,5
27,Israel,1
28,Italy,54
29,Japan,106
31,Kenya,4
32,"Korea, Rep.",71
33,Kuwait,1
34,Liberia,1
35,Luxembourg,3
36,Marshall Islands,2
38,Morocco,3
39,Netherlands,8
40,New Zealand,1
42,Norway,8
43,Oman,7
44,Panama,9
45,Philippines,12
46,Portugal,9
48,Qatar,1
50,Saudi Arabia,2
51,Seychelles,1
52,Singapore,2
53,Somalia,3
55,Spain,9
57,Turkey,24
58,United Kingdom,63
61,Yemen,1